,date,start_of_the_year,start_of_the_quarter,start_of_the_month
0,2012-01-01,2012-01-01,2012-01-01,2012-01-01
1,2012-01-02,2012-01-01,2012-01-01,2012-01-01
2,2012-01-03,2012-01-01,2012-01-01,2012-01-01
3,2012-01-04,2012-01-01,2012-01-01,2012-01-01
4,2012-01-05,2012-01-01,2012-01-01,2012-01-01
5,2012-01-06,2012-01-01,2012-01-01,2012-01-01
6,2012-01-07,2012-01-01,2012-01-01,2012-01-01
7,2012-01-08,2012-01-01,2012-01-01,2012-01-01
8,2012-01-09,2012-01-01,2012-01-01,2012-01-01
9,2012-01-10,2012-01-01,2012-01-01,2012-01-01
10,2012-01-11,2012-01-01,2012-01-01,2012-01-01
11,2012-01-12,2012-01-01,2012-01-01,2012-01-01
12,2012-01-13,2012-01-01,2012-01-01,2012-01-01
13,2012-01-14,2012-01-01,2012-01-01,2012-01-01
14,2012-01-15,2012-01-01,2012-01-01,2012-01-01
15,2012-01-16,2012-01-01,2012-01-01,2012-01-01
16,2012-01-17,2012-01-01,2012-01-01,2012-01-01
17,2012-01-18,2012-01-01,2012-01-01,2012-01-01
18,2012-01-19,2012-01-01,2012-01-01,2012-01-01
19,2012-01-20,2012-01-01,2012-01-01,2012-01-01
20,2012-01-21,2012-01-01,2012-01-01,2012-01-01
21,2012-01-22,2012-01-01,2012-01-01,2012-01-01
22,2012-01-23,2012-01-01,2012-01-01,2012-01-01
23,2012-01-24,2012-01-01,2012-01-01,2012-01-01
24,2012-01-25,2012-01-01,2012-01-01,2012-01-01
25,2012-01-26,2012-01-01,2012-01-01,2012-01-01
26,2012-01-27,2012-01-01,2012-01-01,2012-01-01
27,2012-01-28,2012-01-01,2012-01-01,2012-01-01
28,2012-01-29,2012-01-01,2012-01-01,2012-01-01
29,2012-01-30,2012-01-01,2012-01-01,2012-01-01
30,2012-01-31,2012-01-01,2012-01-01,2012-01-01
31,2012-02-01,2012-01-01,2012-01-01,2012-02-01
32,2012-02-02,2012-01-01,2012-01-01,2012-02-01
33,2012-02-03,2012-01-01,2012-01-01,2012-02-01
34,2012-02-04,2012-01-01,2012-01-01,2012-02-01
35,2012-02-05,2012-01-01,2012-01-01,2012-02-01
36,2012-02-06,2012-01-01,2012-01-01,2012-02-01
37,2012-02-07,2012-01-01,2012-01-01,2012-02-01
38,2012-02-08,2012-01-01,2012-01-01,2012-02-01
39,2012-02-09,2012-01-01,2012-01-01,2012-02-01
40,2012-02-10,2012-01-01,2012-01-01,2012-02-01
41,2012-02-11,2012-01-01,2012-01-01,2012-02-01
42,2012-02-12,2012-01-01,2012-01-01,2012-02-01
43,2012-02-13,2012-01-01,2012-01-01,2012-02-01
44,2012-02-14,2012-01-01,2012-01-01,2012-02-01
45,2012-02-15,2012-01-01,2012-01-01,2012-02-01
46,2012-02-16,2012-01-01,2012-01-01,2012-02-01
47,2012-02-17,2012-01-01,2012-01-01,2012-02-01
48,2012-02-18,2012-01-01,2012-01-01,2012-02-01
49,2012-02-19,2012-01-01,2012-01-01,2012-02-01
50,2012-02-20,2012-01-01,2012-01-01,2012-02-01
51,2012-02-21,2012-01-01,2012-01-01,2012-02-01
52,2012-02-22,2012-01-01,2012-01-01,2012-02-01
53,2012-02-23,2012-01-01,2012-01-01,2012-02-01
54,2012-02-24,2012-01-01,2012-01-01,2012-02-01
55,2012-02-25,2012-01-01,2012-01-01,2012-02-01
56,2012-02-26,2012-01-01,2012-01-01,2012-02-01
57,2012-02-27,2012-01-01,2012-01-01,2012-02-01
58,2012-02-28,2012-01-01,2012-01-01,2012-02-01
59,2012-02-29,2012-01-01,2012-01-01,2012-02-01
60,2012-03-01,2012-01-01,2012-01-01,2012-03-01
61,2012-03-02,2012-01-01,2012-01-01,2012-03-01
62,2012-03-03,2012-01-01,2012-01-01,2012-03-01
63,2012-03-04,2012-01-01,2012-01-01,2012-03-01
64,2012-03-05,2012-01-01,2012-01-01,2012-03-01
65,2012-03-06,2012-01-01,2012-01-01,2012-03-01
66,2012-03-07,2012-01-01,2012-01-01,2012-03-01
67,2012-03-08,2012-01-01,2012-01-01,2012-03-01
68,2012-03-09,2012-01-01,2012-01-01,2012-03-01
69,2012-03-10,2012-01-01,2012-01-01,2012-03-01
70,2012-03-11,2012-01-01,2012-01-01,2012-03-01
71,2012-03-12,2012-01-01,2012-01-01,2012-03-01
72,2012-03-13,2012-01-01,2012-01-01,2012-03-01
73,2012-03-14,2012-01-01,2012-01-01,2012-03-01
74,2012-03-15,2012-01-01,2012-01-01,2012-03-01
75,2012-03-16,2012-01-01,2012-01-01,2012-03-01
76,2012-03-17,2012-01-01,2012-01-01,2012-03-01
77,2012-03-18,2012-01-01,2012-01-01,2012-03-01
78,2012-03-19,2012-01-01,2012-01-01,2012-03-01
79,2012-03-20,2012-01-01,2012-01-01,2012-03-01
80,2012-03-21,2012-01-01,2012-01-01,2012-03-01
81,2012-03-22,2012-01-01,2012-01-01,2012-03-01
82,2012-03-23,2012-01-01,2012-01-01,2012-03-01
83,2012-03-24,2012-01-01,2012-01-01,2012-03-01
84,2012-03-25,2012-01-01,2012-01-01,2012-03-01
85,2012-03-26,2012-01-01,2012-01-01,2012-03-01
86,2012-03-27,2012-01-01,2012-01-01,2012-03-01
87,2012-03-28,2012-01-01,2012-01-01,2012-03-01
88,2012-03-29,2012-01-01,2012-01-01,2012-03-01
89,2012-03-30,2012-01-01,2012-01-01,2012-03-01
90,2012-03-31,2012-01-01,2012-01-01,2012-03-01
91,2012-04-01,2012-01-01,2012-04-01,2012-04-01
92,2012-04-02,2012-01-01,2012-04-01,2012-04-01
93,2012-04-03,2012-01-01,2012-04-01,2012-04-01
94,2012-04-04,2012-01-01,2012-04-01,2012-04-01
95,2012-04-05,2012-01-01,2012-04-01,2012-04-01
96,2012-04-06,2012-01-01,2012-04-01,2012-04-01
97,2012-04-07,2012-01-01,2012-04-01,2012-04-01
98,2012-04-08,2012-01-01,2012-04-01,2012-04-01
99,2012-04-09,2012-01-01,2012-04-01,2012-04-01
100,2012-04-10,2012-01-01,2012-04-01,2012-04-01
101,2012-04-11,2012-01-01,2012-04-01,2012-04-01
102,2012-04-12,2012-01-01,2012-04-01,2012-04-01
103,2012-04-13,2012-01-01,2012-04-01,2012-04-01
104,2012-04-14,2012-01-01,2012-04-01,2012-04-01
105,2012-04-15,2012-01-01,2012-04-01,2012-04-01
106,2012-04-16,2012-01-01,2012-04-01,2012-04-01
107,2012-04-17,2012-01-01,2012-04-01,2012-04-01
108,2012-04-18,2012-01-01,2012-04-01,2012-04-01
109,2012-04-19,2012-01-01,2012-04-01,2012-04-01
110,2012-04-20,2012-01-01,2012-04-01,2012-04-01
111,2012-04-21,2012-01-01,2012-04-01,2012-04-01
112,2012-04-22,2012-01-01,2012-04-01,2012-04-01
113,2012-04-23,2012-01-01,2012-04-01,2012-04-01
114,2012-04-24,2012-01-01,2012-04-01,2012-04-01
115,2012-04-25,2012-01-01,2012-04-01,2012-04-01
116,2012-04-26,2012-01-01,2012-04-01,2012-04-01
117,2012-04-27,2012-01-01,2012-04-01,2012-04-01
118,2012-04-28,2012-01-01,2012-04-01,2012-04-01
119,2012-04-29,2012-01-01,2012-04-01,2012-04-01
120,2012-04-30,2012-01-01,2012-04-01,2012-04-01
121,2012-05-01,2012-01-01,2012-04-01,2012-05-01
122,2012-05-02,2012-01-01,2012-04-01,2012-05-01
123,2012-05-03,2012-01-01,2012-04-01,2012-05-01
124,2012-05-04,2012-01-01,2012-04-01,2012-05-01
125,2012-05-05,2012-01-01,2012-04-01,2012-05-01
126,2012-05-06,2012-01-01,2012-04-01,2012-05-01
127,2012-05-07,2012-01-01,2012-04-01,2012-05-01
128,2012-05-08,2012-01-01,2012-04-01,2012-05-01
129,2012-05-09,2012-01-01,2012-04-01,2012-05-01
130,2012-05-10,2012-01-01,2012-04-01,2012-05-01
131,2012-05-11,2012-01-01,2012-04-01,2012-05-01
132,2012-05-12,2012-01-01,2012-04-01,2012-05-01
133,2012-05-13,2012-01-01,2012-04-01,2012-05-01
134,2012-05-14,2012-01-01,2012-04-01,2012-05-01
135,2012-05-15,2012-01-01,2012-04-01,2012-05-01
136,2012-05-16,2012-01-01,2012-04-01,2012-05-01
137,2012-05-17,2012-01-01,2012-04-01,2012-05-01
138,2012-05-18,2012-01-01,2012-04-01,2012-05-01
139,2012-05-19,2012-01-01,2012-04-01,2012-05-01
140,2012-05-20,2012-01-01,2012-04-01,2012-05-01
141,2012-05-21,2012-01-01,2012-04-01,2012-05-01
142,2012-05-22,2012-01-01,2012-04-01,2012-05-01
143,2012-05-23,2012-01-01,2012-04-01,2012-05-01
144,2012-05-24,2012-01-01,2012-04-01,2012-05-01
145,2012-05-25,2012-01-01,2012-04-01,2012-05-01
146,2012-05-26,2012-01-01,2012-04-01,2012-05-01
147,2012-05-27,2012-01-01,2012-04-01,2012-05-01
148,2012-05-28,2012-01-01,2012-04-01,2012-05-01
149,2012-05-29,2012-01-01,2012-04-01,2012-05-01
150,2012-05-30,2012-01-01,2012-04-01,2012-05-01
151,2012-05-31,2012-01-01,2012-04-01,2012-05-01
152,2012-06-01,2012-01-01,2012-04-01,2012-06-01
153,2012-06-02,2012-01-01,2012-04-01,2012-06-01
154,2012-06-03,2012-01-01,2012-04-01,2012-06-01
155,2012-06-04,2012-01-01,2012-04-01,2012-06-01
156,2012-06-05,2012-01-01,2012-04-01,2012-06-01
157,2012-06-06,2012-01-01,2012-04-01,2012-06-01
158,2012-06-07,2012-01-01,2012-04-01,2012-06-01
159,2012-06-08,2012-01-01,2012-04-01,2012-06-01
160,2012-06-09,2012-01-01,2012-04-01,2012-06-01
161,2012-06-10,2012-01-01,2012-04-01,2012-06-01
162,2012-06-11,2012-01-01,2012-04-01,2012-06-01
163,2012-06-12,2012-01-01,2012-04-01,2012-06-01
164,2012-06-13,2012-01-01,2012-04-01,2012-06-01
165,2012-06-14,2012-01-01,2012-04-01,2012-06-01
166,2012-06-15,2012-01-01,2012-04-01,2012-06-01
167,2012-06-16,2012-01-01,2012-04-01,2012-06-01
168,2012-06-17,2012-01-01,2012-04-01,2012-06-01
169,2012-06-18,2012-01-01,2012-04-01,2012-06-01
170,2012-06-19,2012-01-01,2012-04-01,2012-06-01
171,2012-06-20,2012-01-01,2012-04-01,2012-06-01
172,2012-06-21,2012-01-01,2012-04-01,2012-06-01
173,2012-06-22,2012-01-01,2012-04-01,2012-06-01
174,2012-06-23,2012-01-01,2012-04-01,2012-06-01
175,2012-06-24,2012-01-01,2012-04-01,2012-06-01
176,2012-06-25,2012-01-01,2012-04-01,2012-06-01
177,2012-06-26,2012-01-01,2012-04-01,2012-06-01
178,2012-06-27,2012-01-01,2012-04-01,2012-06-01
179,2012-06-28,2012-01-01,2012-04-01,2012-06-01
180,2012-06-29,2012-01-01,2012-04-01,2012-06-01
181,2012-06-30,2012-01-01,2012-04-01,2012-06-01
182,2012-07-01,2012-01-01,2012-07-01,2012-07-01
183,2012-07-02,2012-01-01,2012-07-01,2012-07-01
184,2012-07-03,2012-01-01,2012-07-01,2012-07-01
185,2012-07-04,2012-01-01,2012-07-01,2012-07-01
186,2012-07-05,2012-01-01,2012-07-01,2012-07-01
187,2012-07-06,2012-01-01,2012-07-01,2012-07-01
188,2012-07-07,2012-01-01,2012-07-01,2012-07-01
189,2012-07-08,2012-01-01,2012-07-01,2012-07-01
190,2012-07-09,2012-01-01,2012-07-01,2012-07-01
191,2012-07-10,2012-01-01,2012-07-01,2012-07-01
192,2012-07-11,2012-01-01,2012-07-01,2012-07-01
193,2012-07-12,2012-01-01,2012-07-01,2012-07-01
194,2012-07-13,2012-01-01,2012-07-01,2012-07-01
195,2012-07-14,2012-01-01,2012-07-01,2012-07-01
196,2012-07-15,2012-01-01,2012-07-01,2012-07-01
197,2012-07-16,2012-01-01,2012-07-01,2012-07-01
198,2012-07-17,2012-01-01,2012-07-01,2012-07-01
199,2012-07-18,2012-01-01,2012-07-01,2012-07-01
200,2012-07-19,2012-01-01,2012-07-01,2012-07-01
