,loyalty_number,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,customer_lifetime_value,enrollment_type,enrollment_year,enrollment_month,cancellation_year,cancellation_month
0,480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236.0,Married,Star,,Standard,,,,
1,549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Divorced,Star,,Standard,,,,
2,429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,,Single,Star,,Standard,,,2018.0,
3,608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,,Single,Star,,Standard,,,,
4,530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495.0,Married,Star,,Standard,,,,
5,193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124.0,Married,Star,,Standard,,,,
6,927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,,Single,Star,,Standard,,,,
7,188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159.0,Married,Star,,Standard,,,,
8,852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159.0,Married,Star,,Standard,,,,
9,866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159.0,Married,Star,,Standard,,,,
10,932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,,Standard,,,,
11,144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,,Standard,,,,
12,611765,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175.0,Single,Star,,Standard,,,,
13,988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Single,Star,,Standard,,,,
14,286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Single,Star,,Standard,,,,
15,205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,,Standard,,,,
16,735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,,Standard,,,,
17,438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,,Standard,,,,
18,172755,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,,2018 Promotion,,,,
19,354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,,Married,Star,,Standard,,,2018.0,
20,413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,,Standard,,,,
21,552965,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Married,Star,,Standard,,,,
22,642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Star,,Standard,,,,
23,263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Single,Star,,Standard,,,,
24,109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,,Standard,,,,
25,217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,,Standard,,,,
26,157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,,Standard,,,,
27,557752,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,,Standard,,,,
28,608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,,Standard,,,,
29,599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,,Standard,,,,
30,333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,,Standard,,,,
31,201574,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375.0,Married,Star,,Standard,,,2015.0,
32,403361,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,,Standard,,,,
33,543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,,Standard,,,,
34,806030,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,,Standard,,,,4.0
35,119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,,Standard,,,,
36,938981,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,,Single,Aurora,,2018 Promotion,,,,
37,238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,,Standard,,,,
38,730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,,Single,Star,,Standard,,,,
39,834891,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460.0,Married,Star,,Standard,,,2017.0,
40,127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,,Standard,,,,
41,324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,,Single,Star,,Standard,,,,
42,742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Single,Star,,Standard,,,,
43,536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,,Standard,,,,
44,704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,,Standard,,,,
45,733338,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,,Standard,,,2017.0,
46,758635,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,,Standard,,,,
47,823048,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,,Standard,,,,
48,612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Married,Star,,Standard,,,,
49,679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,,Standard,,,,
50,704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,,Standard,,,,4.0
51,869743,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,,Standard,,,2017.0,
52,596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,,Standard,,,,
53,370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,,Standard,,,,
54,501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,,Standard,,,,
55,878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,,Standard,,,,
56,285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,,Standard,,,,
57,588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,,Standard,,,,
58,645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,,Standard,,,,
59,864324,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,,Standard,,,,
